,feature,rmse_median_SANS,rmse_25perc_SANS,rmse_75perc_SANS,r2_median_SANS,r2_25perc_SANS,r2_75perc_SANS,r_median_SANS,r_25perc_SANS,r_75perc_SANS
0,Activity,5.124376420685127,4.979590020781081,5.361692834262738,-0.0014568399095518103,-0.003791021632410352,-0.00036504175024254515,0.0,0.0,0.0
1,Alpha,5.205494570942194,5.031160273649586,5.421071596023999,-0.00304796207038327,-0.027814244308264346,-0.0005787173415036095,0.0,0.0,0.0
2,alphaPh_betaAmp,5.163302714916892,5.025200598930836,5.358020259342165,-0.002051933352995028,-0.009030431265231509,0.0019489595084832279,0.0,0.0,0.08841405066553244
3,alphaPh_gammaAmp,5.146692445285609,4.979590020781081,5.4066605121473295,-0.0013125452736026944,-0.004607685175925524,-0.00033378279983664605,0.0,0.0,0.0
4,amp_env_meanAlpha,5.170278948623175,5.030102795562026,5.43199926458395,-0.0029557029807446566,-0.02717886174742823,-0.0007840890657834776,0.0,-0.0853199686905218,0.0
5,amp_env_meanBeta,5.123243217337242,5.004596945264919,5.361692834262738,-0.0013125452736026944,-0.0033981872850975536,-0.00033378543946827044,0.0,0.0,0.0
6,amp_env_meanDelta,5.147537330423916,5.004596945264919,5.361692834262738,-0.0014568399095518103,-0.006238531585816609,-0.00033123408451984915,0.0,0.0,0.0
7,amp_env_meanGamma,5.1310942469850715,4.979590020781081,5.357027752167451,-0.0020931166028084203,-0.006238531585816609,-0.00039499474844306715,0.0,0.0,0.0
8,amp_env_meanTheta,5.156949905836589,5.0252581311474565,5.444107736706059,-0.003165427627707662,-0.017525315118008256,-0.00042877459499307546,0.0,-0.10320697140639011,0.0
9,amp_env_stdAlpha,5.159260121216898,5.009609107322468,5.404594108592332,-0.0013756731492776675,-0.015253758713619114,0.0012391770603482066,0.0,0.0,0.08352670402687704
10,amp_env_stdBeta,5.123243217337242,5.004596945264919,5.361692834262738,-0.0013125452736026944,-0.0033981872850975536,-0.00033378543946827044,0.0,0.0,0.0
11,amp_env_stdDelta,5.153601807502767,5.022633330053926,5.361692834262738,-0.0015464632309761805,-0.005082719933176549,-0.00039499474844306715,0.0,0.0,0.0
12,amp_env_stdGamma,5.123243217337242,4.979590020781081,5.361692834262738,-0.0017642147281693443,-0.006901194886801687,-0.0003883345623624246,0.0,0.0,0.0
13,amp_env_stdTheta,5.168910180617105,5.026504918052382,5.423945645066193,-0.003165427627707662,-0.014613463439168806,-0.00040762843209196653,0.0,-0.09441176859819848,0.0
14,amp_kurtAlpha,5.201166635795579,5.0674945906907825,5.361692834262738,-0.003968465976704305,-0.04739624830929329,-0.001138262939221868,0.0,-0.06204748298073215,0.0
15,amp_kurtBeta,5.179874957633265,5.006102126751861,5.379373258553534,-0.0020003837970733462,-0.006901194886801687,-0.00036504175024254515,0.0,0.0,0.0
16,amp_kurtDelta,5.146692445285609,5.004596945264919,5.395246266912649,-0.0026166121051501845,-0.008561842569154987,-0.000421711372011746,0.0,0.0,0.0
17,amp_kurtGamma,5.166006438080133,5.0148299086484975,5.361692834262738,-0.0024833038536727914,-0.007106548364816723,-0.0004068702847820349,0.0,-0.04130907941739617,0.0
18,amp_kurtTheta,5.166647287627511,4.981443589837993,5.405207383706699,-0.0035574839329589603,-0.03055659394424165,-0.0003152255498553025,0.0,-0.00856120453618734,0.05811645943894478
19,amp_skewAlpha,5.154688206013875,5.018377350439438,5.339433711810401,-0.0031278120479688587,-0.015180222876778782,-6.784683836913441e-06,0.04452156091873262,0.0,0.11056775514104675
20,amp_skewBeta,5.213477759264528,5.028855464057273,5.402020105354271,-0.00299328750102823,-0.011859389968368383,-0.0004196721914193069,0.0,-0.004010043427078273,0.0
21,amp_skewDelta,5.117814188010103,5.004596945264919,5.3624498853147635,-0.0016838660835549746,-0.007011441138958685,-0.00023778232091831164,0.0,0.0,0.07101413727888699
22,amp_skewGamma,5.123243217337242,5.004596945264919,5.358174931885964,-0.0013976430706716947,-0.003905260483438755,-0.00036504175024254515,0.0,0.0,0.0
23,amp_skewTheta,5.123243217337242,5.004103578228923,5.390804269010786,-0.003968465976704305,-0.024068424818805556,-0.001003892014033947,0.0,-0.03674065223103476,0.0
24,amp_total_powAlpha,5.170279362132381,5.030102795562026,5.43199926458395,-0.002955742861458166,-0.027177699903351893,-0.0007840890657834776,0.0,-0.08532006107234501,0.0
25,amp_total_powBeta,5.123243217337242,5.004596945264919,5.361692834262738,-0.0013125452736026944,-0.0033981872850975536,-0.00033378543946827044,0.0,0.0,0.0
26,amp_total_powDelta,5.147053888860898,5.004596945264919,5.361692834262738,-0.0014568399095518103,-0.006238531585816609,-0.00033123408451984915,0.0,0.0,0.0
27,amp_total_powGamma,5.131094029555556,4.979590020781081,5.357027779911689,-0.0020931166028084203,-0.006238531585816609,-0.00039499474844306715,0.0,0.0,0.0
28,amp_total_powTheta,5.156956023033807,5.025242942984606,5.444107769784297,-0.003165427627707662,-0.017526575971282654,-0.00042877459499307546,0.0,-0.10318212767538155,0.0
29,approxEnt,5.249685602845025,5.029542993597531,5.462922463764214,-0.003968465976704305,-0.03530876820515749,-0.00039234896096385086,0.0,-0.03649592500855914,0.006759881662001929
30,Beta,5.153423977624258,4.982597106930698,5.360139023492245,-0.0028351514382308762,-0.008057585546529522,-0.0003641921784702795,0.0,0.0,0.0
31,betaPh_gammaAmp,5.120356231660847,5.018229324316306,5.3628828509486555,-0.0030372844602761795,-0.010316770593550628,-0.00033378279983664605,0.0,-0.06362747370034638,0.0
32,Complexity,5.190670842073619,5.004596945264919,5.361692834262738,-0.0029486349744342055,-0.007577234165529856,-0.0009670049511342205,0.0,-0.04722823956374883,0.0
33,CorDim,5.251256871523833,5.043745102615139,5.433362838312499,-0.010892154596795045,-0.08475332963722504,-0.0023683208322861082,0.0,-0.13681367015848384,0.0
34,Delta,5.124871788342764,4.993096394748255,5.361692834262738,-0.0025207384466323646,-0.006901194886801687,-0.00040762843209196653,0.0,0.0,0.0
35,deltaPh_alphaAmp,5.261256531150741,5.083780382477945,5.5128332568819065,-0.0038039193434113994,-0.05965885337268334,-0.0005787173415036095,0.0,-0.020006880544842252,0.0
36,deltaPh_betaAmp,5.110120413104239,4.979590020781081,5.3486288020319765,-0.001114567739652017,-0.0032709916160870156,-0.00033123408451984915,0.0,0.0,0.0
37,deltaPh_gammaAmp,5.205494570942194,5.004596945264919,5.400908567642671,-0.0020931166028084203,-0.004607685175925524,-0.0003883345623624246,0.0,0.0,0.0
38,DFA_exp_alpha,5.123243217337242,5.006417325132617,5.400908567642671,-0.00221813529426651,-0.007687764688550425,-0.00040762843209196653,0.0,-0.08568003122750147,0.0
39,DFA_exp_beta,5.116718101188635,5.004596945264919,5.43002948945681,-0.0025207384466323646,-0.008045438934141613,-0.0003883345623624246,0.0,0.0,0.0
40,DFA_exp_delta,5.123243217337242,5.004596945264919,5.3693004147414465,-0.0020931166028084203,-0.006238531585816609,-0.0003641895388386551,0.0,0.0,0.0
41,DFA_exp_gamma,5.1643685039424865,5.004596945264919,5.3486288020319765,-0.002333811196067792,-0.006238531585816609,-0.0003781989826950882,0.0,0.0,0.0
42,DFA_exp_theta,5.166006438080133,5.004596945264919,5.400908567642671,-0.001622301763006262,-0.004211395182617594,-0.0004068702847820349,0.0,0.0,0.0
43,el_dtf_betw_alpha,5.157032128164227,5.018913746378432,5.4066314643219275,-0.0024551371569832003,-0.008781872002831259,-0.00031109426272196705,0.0,-0.006455918875857549,0.034683473786504534
44,el_dtf_betw_beta,5.135220503872329,4.981931700683579,5.374386818090423,-0.0016925238505610674,-0.006982785178562212,0.00047768110380036477,0.0,-0.005942157959282929,0.10842279401172389
45,el_dtf_betw_delta,5.1636612785815394,5.007215940448988,5.397760342378041,-0.00235845065760254,-0.009476962207338069,4.0395042700036576e-05,0.0,-0.002756690403980331,0.0720980239658717
46,el_dtf_betw_gamma,5.112058392920252,4.958018360731198,5.290910887996618,0.003509193894341678,-0.00263856909599125,0.0300389038174656,0.16580697962822752,0.05608390654323862,0.230092758573021
47,el_dtf_betw_theta,5.185914167723608,5.030376758314622,5.3788630482479185,-0.004245799107438164,-0.022278956728560895,-0.0006887634093009076,0.0,-0.03238663459894951,0.05079401366200101
48,el_dtf_clus_alpha,5.173296667007923,5.004596945264919,5.352401436283024,-0.00221813529426651,-0.004607685175925524,-0.0005787173415036095,0.0,0.0,0.0
49,el_dtf_clus_beta,5.165907306871973,5.004596945264919,5.3486288020319765,-0.0014568399095518103,-0.0036364208230424966,-0.00033123408451984915,0.0,0.0,0.0
50,el_dtf_clus_delta,5.169135228857321,5.011247399887541,5.361692834262738,-0.0014954292993570872,-0.006836635178845363,-0.00033378543946827044,0.0,0.0,0.0
51,el_dtf_clus_gamma,5.152120829750402,5.004596945264919,5.3486288020319765,-0.0015291326712549846,-0.004160356259280074,-0.00040762843209196653,0.0,0.0,0.0
52,el_dtf_clus_theta,5.179874957633265,5.004596945264919,5.3536729618117445,-0.0017642147281693443,-0.004311933006975632,-0.00036504175024254515,0.0,0.0,0.0
53,el_dtf_str_alpha,5.150030266204893,4.983310741579495,5.386505478281542,-0.0017905210565812846,-0.01054355491597242,0.005845160010753775,0.0,0.0,0.12103780322942516
54,el_dtf_str_beta,5.1387609599205035,5.008981246994622,5.361692834262738,-0.0031664864489062694,-0.011268427182664131,-0.00013451046646306697,0.0,0.0,0.0867216630068855
55,el_dtf_str_delta,5.126000951397648,5.014159247016412,5.379373258553534,-0.002671018734439645,-0.010831810286333954,-0.0004248160828800862,0.0,0.0,0.0
56,el_dtf_str_gamma,5.154584366737258,4.953568093420159,5.337158414449031,-0.00029921437555913144,-0.023882141496440468,0.026969005512192168,0.06911674784507087,0.0,0.2042462903826014
57,el_dtf_str_theta,5.130913634806014,4.9983609736261005,5.3743950987001,-0.0031664864489062694,-0.014397471790223992,-0.0002630686587283271,0.0,0.0,0.030556344608325247
58,el_icoh_betw_alpha,5.146692445285609,5.006984427176325,5.360604350139273,-0.002715327369940179,-0.004474090628887317,-0.0005787173415036095,0.0,-0.04647299667115811,0.0
59,el_icoh_betw_beta,5.203677177926639,5.02514033458816,5.392848803362223,-0.0021756196202942224,-0.011045654037770858,-0.0004248160828800862,0.0,-0.009624140279387057,0.07525777515921786
60,el_icoh_betw_delta,5.166006438080133,4.983457394086483,5.3486288020319765,-0.0020848888652721387,-0.004503152688986267,-0.0003641895388386551,0.0,0.0,0.0
61,el_icoh_betw_gamma,5.119962287408955,5.004596945264919,5.364758196780444,-0.002053921929816682,-0.004021778702820944,-0.0004068702847820349,0.0,0.0,0.0
62,el_icoh_betw_theta,5.1116069586832005,4.979590020781081,5.380070471053391,-0.002048679152724553,-0.004818523456943058,-0.0003781989826950882,0.0,-0.04841266460037366,0.0
63,el_icoh_clus_alpha,5.160254422595813,5.018954429890819,5.400908567642671,-0.001333917860082856,-0.006707062278759501,-0.00013878274706852212,0.0,0.0,0.033555869635469464
64,el_icoh_clus_beta,5.184272530859756,5.011974042915323,5.400908567642671,-0.0028351514382308762,-0.009121247633474328,-0.0005729881245742363,0.0,-0.002482581196192912,0.0
65,el_icoh_clus_delta,5.123243217337242,4.979590020781081,5.349814833326569,-0.0013125452736026944,-0.003791021632410352,-0.00036504175024254515,0.0,0.0,0.0
66,el_icoh_clus_gamma,5.123243217337242,5.026504918052382,5.361692834262738,-0.0020931166028084203,-0.007206334231843525,-0.00039060900429221945,0.0,0.0,0.0
67,el_icoh_clus_theta,5.188276996521637,4.987887633391955,5.405207383706699,-0.0029151354437696453,-0.009375241994888595,-0.000745818265250553,0.0,-0.0687613783553147,0.0
68,el_icoh_str_alpha,5.140830803694762,5.0195932262563385,5.400908567642671,-0.0025080687471567,-0.0076938498155908475,-0.00015132788453359192,0.0,0.0,0.014562891180510991
69,el_icoh_str_beta,5.168445023492719,5.020089337092761,5.379373258553534,-0.002074569572772189,-0.007671190415286744,-0.0005729881245742363,0.0,-0.019464395715090614,0.0
70,el_icoh_str_delta,5.123243217337242,4.979590020781081,5.350178410493924,-0.0013976430706716947,-0.004405575225414904,-0.0003641921784702795,0.0,0.0,0.0
71,el_icoh_str_gamma,5.125614151026231,5.020523739693067,5.361692834262738,-0.0012733001814438927,-0.005923110899790529,-0.00029016226927369715,0.0,0.0,0.0
72,el_icoh_str_theta,5.173399326991186,5.012617704600991,5.362179385546568,-0.0032692923750025082,-0.009047794692814082,-0.0006637121683740754,0.0,-0.1021278221841039,0.0
73,el_plv_betw_alpha,5.212020480110137,5.013030477586863,5.347182209842709,-0.0010413771172858022,-0.009375241994888595,0.004504335787398256,0.07701595634844075,0.0,0.14685077149615414
74,el_plv_betw_beta,5.110120413104239,5.004596945264919,5.3486288020319765,-0.0014568399095518103,-0.003958964805910514,-0.00039499474844306715,0.0,0.0,0.0
75,el_plv_betw_delta,5.145535543417283,4.979590020781081,5.369492129914638,-0.0020931166028084203,-0.007153743431293158,-0.00039499474844306715,0.0,0.0,0.0
76,el_plv_betw_gamma,5.110120413104239,4.979590020781081,5.361692834262738,-0.0015464632309761805,-0.003791021632410352,-0.00039499474844306715,0.0,0.0,0.0
77,el_plv_betw_theta,5.1952458356334414,5.029253441461212,5.404446528144746,-0.003232585945383115,-0.024668287301812364,-1.7211104896164287e-05,0.008021601233734719,0.0,0.10636827309664376
78,el_plv_clus_alpha,5.188814534472401,5.007453094263076,5.376613230887656,-0.0031507679964795088,-0.015164908509042674,-0.00022391807159521937,0.0,0.0,0.05748948410034939
79,el_plv_clus_beta,5.123243217337242,4.979590020781081,5.352232941222702,-0.0013125452736026944,-0.0033981872850975536,-0.00033123408451984915,0.0,0.0,0.0
80,el_plv_clus_delta,5.124185413437446,4.994953191256169,5.391609503957565,-0.0029344785341799406,-0.010591530927808124,-0.00040762843209196653,0.0,-0.11671144881603884,0.0
81,el_plv_clus_gamma,5.110120413104239,4.991935759066587,5.358025130273648,-0.0013125452736026944,-0.003791021632410352,-0.00033378543946827044,0.0,0.0,0.0
82,el_plv_clus_theta,5.1645768407757835,5.020506706838894,5.358677938890577,-0.0029198189029517874,-0.01710528788837057,0.0058921876292192255,0.0,-0.027517429518471515,0.09577919526345188
83,el_plv_str_alpha,5.154238994342586,5.011610617929639,5.361415439705503,-0.0012733001814438927,-0.010178323061615813,0.006501393928033172,0.018254724335706796,0.0,0.14632867268236358
84,el_plv_str_beta,5.123243217337242,4.981569196358128,5.3486288020319765,-0.0013499176197495633,-0.003791021632410352,-0.00033378543946827044,0.0,0.0,0.0
85,el_plv_str_delta,5.123986475123562,4.981457625809504,5.400908567642671,-0.00250756393567908,-0.01074020206208276,-0.00040762843209196653,0.0,-0.05648675374100738,0.0
86,el_plv_str_gamma,5.110120413104239,4.993824311373443,5.361692834262738,-0.0014568399095518103,-0.003905260483438755,-0.00036504175024254515,0.0,0.0,0.0
87,el_plv_str_theta,5.149655222357902,5.006919068589795,5.353843201054236,-0.0029198189029517874,-0.010512329451501934,0.0010485136765976677,0.0,-0.03341510934589894,0.0811751429682505
88,Gamma,5.161643766706424,5.026504918052382,5.391654338228905,-0.0029151354437696453,-0.008904814839529429,-0.00042877459499307546,0.0,0.0,0.0
89,HE,5.110120413104239,4.979864469758409,5.361692834262738,-0.00221813529426651,-0.006767615636630697,-0.00039499474844306715,0.0,0.0,0.0
90,HFD_Alpha,5.1462687554369415,5.026504918052382,5.409821200748365,-0.003165427627707662,-0.009481433527158856,-0.00042877459499307546,0.0,0.0,0.0
91,HFD_Beta,5.1873902503316565,5.012617704600991,5.421071596023999,-0.003165427627707662,-0.013130290224275698,-0.0006637121683740754,0.0,-0.013831802275719972,0.0
92,HFD_Delta,5.110120413104239,4.979590020781081,5.361692834262738,-0.0014568399095518103,-0.003905260483438755,-0.00036504175024254515,0.0,0.0,0.0
93,HFD_Gamma,5.209557648507119,5.043152478086048,5.3752787065239245,-0.003336271371272792,-0.010983681801247314,-0.00039499474844306715,0.0,-0.013463137046749413,0.0
94,HFD_Theta,5.277968598313169,5.080139607240712,5.42311598918496,-0.002963294605662359,-0.06335399612035825,-0.0003883345623624246,0.0,0.0,0.0
95,INSTalpha_betwcentr,5.159258247495366,5.003575587514489,5.39363254010834,-0.0029198189029517874,-0.021924375844076527,-0.0002450821863786423,0.04603825543656844,0.0,0.16505259621088653
96,INSTalpha_clusteringcoefficient,5.145535543417283,5.004486805485747,5.367371183543703,-0.0026944911862436527,-0.009272135801563497,-0.0003883345623624246,0.0,0.0,0.0
